t,x,u,z1_hat,z2_hat,z3_hat
0.46000,1.06335,5.00000,1.05013,4.99547,1.89363
0.46500,1.08870,5.00000,1.07533,5.05547,1.89436
0.47000,1.11435,5.00000,1.10082,5.11546,1.89497
0.47500,1.14030,5.00000,1.12662,5.17544,1.89546
0.48000,1.16655,5.00000,1.15271,5.23540,1.89584
0.48500,1.19310,5.00000,1.17911,5.29537,1.89611
0.49000,1.21995,5.00000,1.20580,5.35532,1.89630
0.49500,1.24710,5.00000,1.23280,5.41526,1.89639
0.50000,1.27455,5.00000,1.26009,5.47520,1.89641
0.50500,1.30230,5.00000,1.28768,5.53514,1.89635
0.51000,1.33035,5.00000,1.31558,5.59506,1.89622
0.51500,1.35870,5.00000,1.34377,5.65498,1.89602
0.52000,1.38735,5.00000,1.37227,5.71490,1.89577
0.52500,1.41630,5.00000,1.40106,5.77481,1.89545
0.53000,1.44555,5.00000,1.43015,5.83471,1.89509
0.53500,1.47510,5.00000,1.45955,5.89462,1.89468
0.54000,1.50495,5.00000,1.48924,5.95451,1.89422
0.54500,1.53510,5.00000,1.51923,6.01441,1.89372
0.55000,1.56555,5.00000,1.54953,6.07430,1.89318
0.55500,1.59630,5.00000,1.58012,6.13419,1.89261
0.56000,1.62735,5.00000,1.61101,6.19407,1.89201
0.56500,1.65870,5.00000,1.64221,6.25396,1.89137
0.57000,1.69035,5.00000,1.67370,6.31384,1.89071
0.57500,1.72230,5.00000,1.70549,6.37371,1.89002
0.58000,1.75455,5.00000,1.73759,6.43359,1.88931
0.58500,1.78710,5.00000,1.76998,6.49346,1.88857
0.59000,1.81995,5.00000,1.80267,6.55334,1.88781
0.59500,1.85310,5.00000,1.83567,6.61321,1.88704
0.60000,1.88655,5.00000,1.86896,6.67307,1.88625
0.60500,1.92030,5.00000,1.90255,6.73294,1.88544
0.61000,1.95435,5.00000,1.93645,6.79281,1.88461
0.61500,1.98870,5.00000,1.97064,6.85267,1.88378
0.62000,2.02335,5.00000,2.00513,6.91254,1.88293
0.62500,2.05830,5.00000,2.03992,6.97240,1.88206
0.63000,2.09355,5.00000,2.07502,7.03226,1.88119
0.63500,2.12910,5.00000,2.11041,7.09212,1.88031
0.64000,2.16495,5.00000,2.14610,7.15198,1.87942
0.64500,2.20110,5.00000,2.18209,7.21184,1.87852
0.65000,2.23755,5.00000,2.21839,7.27170,1.87761
0.65500,2.27430,5.00000,2.25498,7.33156,1.87669
0.66000,2.31135,5.00000,2.29187,7.39141,1.87577
0.66500,2.34870,5.00000,2.32907,7.45127,1.87484
0.67000,2.38635,5.00000,2.36656,7.51113,1.87391
0.67500,2.42430,5.00000,2.40435,7.57098,1.87297
0.68000,2.46255,5.00000,2.44244,7.63084,1.87202
0.68500,2.50110,5.00000,2.48084,7.69069,1.87108
0.69000,2.53995,5.00000,2.51953,7.75055,1.87012
0.69500,2.57910,5.00000,2.55852,7.81040,1.86917
0.70000,2.61855,5.00000,2.59781,7.87025,1.86821
0.70500,2.65830,5.00000,2.63741,7.93011,1.86724
0.71000,2.69835,5.00000,2.67730,7.98996,1.86628
0.71500,2.73870,5.00000,2.71749,8.04981,1.86531
0.72000,2.77935,5.00000,2.75798,8.10967,1.86434
0.72500,2.82030,5.00000,2.79878,8.16952,1.86337
0.73000,2.86155,5.00000,2.83987,8.22937,1.86239
0.73500,2.90310,5.00000,2.88126,8.28922,1.86141
0.74000,2.94495,5.00000,2.92295,8.34907,1.86043
0.74500,2.98710,5.00000,2.96495,8.40893,1.85945
0.75000,3.02955,5.00000,3.00724,8.46878,1.85847
0.75500,3.07230,5.00000,3.04983,8.52863,1.85749
0.76000,3.11535,5.00000,3.09272,8.58848,1.85650
0.76500,3.15870,5.00000,3.13592,8.64833,1.85552
0.77000,3.20235,5.00000,3.17941,8.70818,1.85453
0.77500,3.24630,5.00000,3.22320,8.76803,1.85354
0.78000,3.29055,5.00000,3.26729,8.82789,1.85255
0.78500,3.33510,5.00000,3.31169,8.88774,1.85156
0.79000,3.37995,5.00000,3.35638,8.94759,1.85057
0.79500,3.42510,5.00000,3.40137,9.00744,1.84958
0.80000,3.47055,5.00000,3.44666,9.06729,1.84859
0.80500,3.51630,5.00000,3.49226,9.12714,1.84760
0.81000,3.56235,5.00000,3.53815,9.18699,1.84660
0.81500,3.60870,5.00000,3.58434,9.24684,1.84561
0.82000,3.65535,5.00000,3.63083,9.30669,1.84462
0.82500,3.70230,5.00000,3.67763,9.36654,1.84362
0.83000,3.74955,5.00000,3.72472,9.42639,1.84263
0.83500,3.79710,5.00000,3.77211,9.48624,1.84163
0.84000,3.84495,5.00000,3.81980,9.54609,1.84064
0.84500,3.89310,5.00000,3.86780,9.60594,1.83964
0.85000,3.94155,5.00000,3.91609,9.66579,1.83864
0.85500,3.99030,5.00000,3.96468,9.72564,1.83765
0.86000,4.03935,5.00000,4.01357,9.78549,1.83665
0.86500,4.08870,5.00000,4.06277,9.84535,1.83565
0.87000,4.13835,5.00000,4.11226,9.90520,1.83466
0.87500,4.18830,5.00000,4.16205,9.96505,1.83366
0.88000,4.23855,5.00000,4.21214,10.02490,1.83266
0.88500,4.28910,5.00000,4.26254,10.08475,1.83167
0.89000,4.33993,4.75000,4.31322,10.14211,1.83075
0.89500,4.39104,4.50000,4.36419,10.19697,1.82981
0.90000,4.44240,4.25000,4.41543,10.24930,1.82869
0.90500,4.49400,4.00000,4.46692,10.29907,1.82721
0.91000,4.54582,3.75000,4.51864,10.34626,1.82514
0.91500,4.59786,3.50000,4.57059,10.39080,1.82224
0.92000,4.65009,3.25000,4.62275,10.43268,1.81829
0.92500,4.70250,3.00000,4.67511,10.47185,1.81306
0.93000,4.75507,2.75000,4.72764,10.50826,1.80632
0.93500,4.80780,2.50000,4.78033,10.54188,1.79788
0.94000,4.86066,2.25000,4.83317,10.57268,1.78756
0.94500,4.91364,2.00000,4.88614,10.60061,1.77518
0.95000,4.96672,1.75000,4.93923,10.62565,1.76060
0.95500,5.01990,1.50000,4.99242,10.64776,1.74370
0.96000,5.07315,1.25000,5.04570,10.66692,1.72438
0.96500,5.12646,1.00000,5.09904,10.68310,1.70255
0.97000,5.17981,0.75000,5.15244,10.69628,1.67814
0.97500,5.23320,0.50000,5.20588,10.70644,1.65112
0.98000,5.28660,0.25000,5.25934,10.71356,1.62145
0.98500,5.34000,0.00000,5.31281,10.71762,1.58912
0.99000,5.39338,-0.25000,5.36627,10.71862,1.55412
0.99500,5.44674,-0.50000,5.41971,10.71654,1.51648
1.00000,5.50005,-0.75000,5.47311,10.71137,1.47622
1.00500,5.55330,-1.00000,5.52646,10.70311,1.43337
1.01000,5.60647,-1.25000,5.57974,10.69174,1.38797
1.01500,5.65956,-1.50000,5.63294,10.67726,1.34008
1.02000,5.71254,-1.75000,5.68603,10.65967,1.28976
1.02500,5.76540,-2.00000,5.73902,10.63897,1.23707
1.03000,5.81812,-2.25000,5.79187,10.61515,1.18208
1.03500,5.87070,-2.50000,5.84458,10.58821,1.12486
1.04000,5.92311,-2.75000,5.89713,10.55816,1.06549
1.04500,5.97534,-3.00000,5.94951,10.52498,1.00404
1.05000,6.02737,-3.25000,6.00170,10.48870,0.94059
1.05500,6.07920,-3.50000,6.05369,10.44930,0.87522
1.06000,6.13080,-3.75000,6.10545,10.40679,0.80802
1.06500,6.18216,-4.00000,6.15698,10.36117,0.73905
1.07000,6.23326,-4.25000,6.20827,10.31244,0.66840
1.07500,6.28410,-4.50000,6.25928,10.26062,0.59615
1.08000,6.33465,-4.75000,6.31002,10.20569,0.52238
1.08500,6.38490,-5.00000,6.36047,10.14767,0.44715
1.09000,6.43485,-5.00000,6.41061,10.08905,0.37047
1.09500,6.48450,-5.00000,6.46045,10.02984,0.29250
1.10000,6.53385,-5.00000,6.50998,9.97007,0.21346
1.10500,6.58290,-5.00000,6.55920,9.90978,0.13363
1.11000,6.63165,-5.00000,6.60812,9.84901,0.05328
1.11500,6.68010,-5.00000,6.65673,9.78780,-0.02729
1.12000,6.72825,-5.00000,6.70503,9.72619,-0.10779
1.12500,6.77610,-5.00000,6.75303,9.66423,-0.18793
1.13000,6.82365,-5.00000,6.80071,9.60196,-0.26744
1.13500,6.87090,-5.00000,6.84810,9.53942,-0.34606
1.14000,6.91785,-5.00000,6.89517,9.47666,-0.42357
1.14500,6.96450,-5.00000,6.94195,9.41370,-0.49973
1.15000,7.01085,-5.00000,6.98841,9.35060,-0.57437
1.15500,7.05690,-5.00000,7.03458,9.28737,-0.64732
1.16000,7.10265,-5.00000,7.08044,9.22405,-0.71843
1.16500,7.14810,-5.00000,7.12599,9.16067,-0.78758
1.17000,7.19325,-5.00000,7.17125,9.09726,-0.85467
1.17500,7.23810,-5.00000,7.21620,9.03383,-0.91961
1.18000,7.28265,-5.00000,7.26085,8.97041,-0.98235
1.18500,7.32690,-5.00000,7.30520,8.90701,-1.04283
1.19000,7.37085,-5.00000,7.34925,8.84365,-1.10104
1.19500,7.41450,-5.00000,7.39300,8.78035,-1.15695
1.20000,7.45785,-5.00000,7.43645,8.71711,-1.21057
1.20500,7.50090,-5.00000,7.47960,8.65395,-1.26190
1.21000,7.54365,-5.00000,7.52246,8.59087,-1.31096
1.21500,7.58610,-5.00000,7.56501,8.52788,-1.35779
1.22000,7.62825,-5.00000,7.60726,8.46499,-1.40242
1.22500,7.67010,-5.00000,7.64921,8.40220,-1.44490
1.23000,7.71165,-5.00000,7.69087,8.33951,-1.48527
1.23500,7.75290,-5.00000,7.73223,8.27693,-1.52360
1.24000,7.79385,-5.00000,7.77329,8.21445,-1.55994
1.24500,7.83450,-5.00000,7.81405,8.15208,-1.59435
1.25000,7.87485,-5.00000,7.85451,8.08982,-1.62690
1.25500,7.91490,-5.00000,7.89467,8.02767,-1.65765
1.26000,7.95465,-5.00000,7.93454,7.96561,-1.68668
1.26500,7.99410,-5.00000,7.97410,7.90367,-1.71405
1.27000,8.03325,-5.00000,8.01337,7.84182,-1.73982
1.27500,8.07210,-5.00000,8.05234,7.78007,-1.76407
1.28000,8.11065,-5.00000,8.09101,7.71842,-1.78686
1.28500,8.14890,-5.00000,8.12939,7.65686,-1.80827
1.29000,8.18685,-5.00000,8.16746,7.59539,-1.82834
1.29500,8.22450,-5.00000,8.20524,7.53401,-1.84716
1.30000,8.26185,-5.00000,8.24272,7.47271,-1.86478
1.30500,8.29890,-5.00000,8.27990,7.41149,-1.88126
1.31000,8.33565,-5.00000,8.31678,7.35035,-1.89666
1.31500,8.37210,-5.00000,8.35336,7.28928,-1.91104
1.32000,8.40825,-5.00000,8.38965,7.22829,-1.92446
1.32500,8.44410,-5.00000,8.42563,7.16736,-1.93695
1.33000,8.47965,-5.00000,8.46132,7.10649,-1.94859
1.33500,8.51490,-5.00000,8.49670,7.04569,-1.95941
1.34000,8.54985,-5.00000,8.53179,6.98494,-1.96946
1.34500,8.58450,-5.00000,8.56658,6.92425,-1.97879
1.35000,8.61885,-5.00000,8.60107,6.86361,-1.98743
1.35500,8.65290,-5.00000,8.63527,6.80302,-1.99544
1.36000,8.68665,-5.00000,8.66916,6.74248,-2.00284
1.36500,8.72010,-5.00000,8.70275,6.68198,-2.00968
1.37000,8.75325,-5.00000,8.73605,6.62153,-2.01599
1.37500,8.78610,-5.00000,8.76904,6.56111,-2.02180
1.38000,8.81865,-5.00000,8.80174,6.50073,-2.02715
1.38500,8.85090,-5.00000,8.83414,6.44039,-2.03205
1.39000,8.88285,-5.00000,8.86623,6.38008,-2.03655
1.39500,8.91450,-5.00000,8.89803,6.31979,-2.04067
1.40000,8.94585,-5.00000,8.92953,6.25954,-2.04442
1.40500,8.97690,-5.00000,8.96073,6.19932,-2.04785
1.41000,9.00765,-5.00000,8.99163,6.13912,-2.05096
1.41500,9.03810,-5.00000,9.02223,6.07894,-2.05378
1.42000,9.06825,-5.00000,9.05253,6.01879,-2.05632
1.42500,9.09810,-5.00000,9.08253,5.95866,-2.05862
1.43000,9.12765,-5.00000,9.11224,5.89855,-2.06067
1.43500,9.15690,-5.00000,9.14164,5.83845,-2.06251
1.44000,9.18585,-5.00000,9.17074,5.77838,-2.06414
